Sl.NO,MWCNT_percentage,Distance_travelled,Weight,Speed,Wear
1,0.25,500,1,250,1.92E-03
2,0.25,500,1.5,250,3.62E-03
3,0.25,500,2,250,5.40E-03
4,0.5,500,1,250,2.31E-03
5,0.5,500,1.5,250,2.46E-03
6,0.5,500,2,250,3.06E-03
7,0.75,500,1,250,1.71E-03
8,0.75,500,1.5,250,1.56E-03
9,0.75,500,2,250,2.01E-03
10,1,500,1,250,8.39E-04
11,1,500,1.5,250,1.68E-03
12,1,500,2,250,2.29E-03
13,0.25,1000,1,250,1.41E-03
14,0.25,1000,1.5,250,1.92E-03
15,0.25,1000,2,250,2.22E-03
16,0.5,1000,1,250,1.79E-03
17,0.5,1000,1.5,250,2.61E-03
18,0.5,1000,2,250,3.62E-03
19,0.75,1000,1,250,1.00E-03
20,0.75,1000,1.5,250,1.38E-03
21,0.75,1000,2,250,1.08E-03
22,1,1000,1,250,1.33E-03
23,1,1000,1.5,250,9.53E-04
24,1,1000,2,250,1.26E-03
25,0.25,1500,1,250,1.92E-03
26,0.25,1500,1.5,250,2.98E-03
27,0.25,1500,2,250,3.23E-03
28,0.5,1500,1,250,1.94E-03
29,0.5,1500,1.5,250,2.64E-03
30,0.5,1500,2,250,3.06E-03
31,0.75,1500,1,250,6.70E-04
32,0.75,1500,1.5,250,8.18E-04
33,0.75,1500,2,250,1.04E-03
34,1,1500,1,250,9.66E-04
35,1,1500,1.5,250,8.90E-04
36,1,1500,2,250,1.40E-03
37,0.25,500,1,500,1.41E-03
38,0.25,500,1.5,500,1.63E-03
39,0.25,500,2,500,1.63E-03
40,0.5,500,1,500,1.19E-03
41,0.5,500,1.5,500,1.72E-03
42,0.5,500,2,500,1.94E-03
43,0.75,500,1,500,5.95E-04
44,0.75,500,1.5,500,1.04E-03
45,0.75,500,2,500,1.34E-03
46,1,500,1,500,9.15E-04
47,1,500,1.5,500,1.14E-03
48,1,500,2,500,1.37E-03
49,0.25,1000,1,500,8.14E-04
50,0.25,1000,1.5,500,8.88E-04
51,0.25,1000,2,500,1.48E-03
52,0.5,1000,1,500,1.05E-03
53,0.5,1000,1.5,500,1.19E-03
54,0.5,1000,2,500,1.31E-03
55,0.75,1000,1,500,7.07E-04
56,0.75,1000,1.5,500,8.56E-04
57,0.75,1000,2,500,1.12E-03
58,1,1000,1,500,8.39E-04
59,1,1000,1.5,500,1.03E-03
60,1,1000,2,500,1.18E-03
61,0.25,1500,1,500,1.73E-04
62,0.25,1500,1.5,500,9.86E-04
63,0.25,1500,2,500,1.48E-03
64,0.5,1500,1,500,8.46E-04
65,0.5,1500,1.5,500,9.46E-04
66,0.5,1500,2,500,1.39E-03
67,0.75,1500,1,500,5.95E-04
68,0.75,1500,1.5,500,8.43E-04
69,0.75,1500,2,500,1.39E-03
70,1,1500,1,500,7.37E-04
71,1,1500,1.5,500,8.90E-04
72,1,1500,2,500,1.50E-03
73,0.25,500,1,750,1.48E-04
74,0.25,500,1.5,750,9.62E-04
75,0.25,500,2,750,1.18E-03
76,0.5,500,1,750,5.97E-04
77,0.5,500,1.5,750,8.21E-04
78,0.5,500,2,750,1.19E-03
79,0.75,500,1,750,5.21E-04
80,0.75,500,1.5,750,1.12E-03
81,0.75,500,2,750,1.19E-03
82,1,500,1,750,9.15E-04
83,1,500,1.5,750,1.30E-03
84,1,500,2,750,1.45E-03
85,0.25,1000,1,750,6.29E-04
86,0.25,1000,1.5,750,7.77E-04
87,0.25,1000,2,750,9.62E-04
88,0.5,1000,1,750,5.97E-04
89,0.5,1000,1.5,750,7.47E-04
90,0.5,1000,2,750,8.59E-04
91,0.75,1000,1,750,3.35E-04
92,0.75,1000,1.5,750,6.32E-04
93,0.75,1000,2,750,9.30E-04
94,1,1000,1,750,5.34E-04
95,1,1000,1.5,750,6.86E-04
96,1,1000,2,750,9.53E-04
97,0.25,1500,1,750,5.92E-04
98,0.25,1500,1.5,750,8.38E-04
99,0.25,1500,2,750,1.21E-04
100,0.5,1500,1,750,5.48E-04
101,0.5,1500,1.5,750,7.72E-04
102,0.5,1500,2,750,1.14E-03
103,0.75,1500,1,750,3.47E-04
104,0.75,1500,1.5,750,6.45E-04
105,0.75,1500,2,750,1.04E-03
106,1,1500,1,750,5.34E-04
107,1,1500,1.5,750,7.74E-04
108,1,1500,2,750,1.09E-03
